Name,Nationality,Club,Preferred Positions,Age,Special,GK diving,GK handling,GK kicking,GK positioning,GK reflexes,Overall,Potential,Value,Wage
J. Urke,Norway,Aalesunds FK,GK ,26,956,64.0,59.0,58.0,53.0,60.0,59,64,150000.0,1000.0
J. Valencia,Colombia,Águilas Doradas,GK ,24,1096,64.0,55.0,60.0,54.0,61.0,59,65,160000.0,1000.0
T. Cottes,France,Toulouse FC,GK ,19,837,62.0,58.0,60.0,58.0,62.0,59,72,230000.0,1000.0
M. Velazco,Argentina,Arsenal de Sarandí,GK ,22,890,59.0,56.0,65.0,60.0,58.0,59,67,170000.0,2000.0
Song Yoo Gul,Korea Republic,Gangwon FC,GK ,32,1061,56.0,59.0,63.0,59.0,60.0,59,59,90000.0,1000.0
R. Marcone,Romania,Vercelli,GK ,24,1048,56.0,57.0,59.0,61.0,58.0,59,66,160000.0,1000.0
P. Menzel,Germany,VfL Wolfsburg,GK ,18,835,63.0,60.0,58.0,57.0,56.0,59,77,260000.0,2000.0
J. Vickers,England,Lincoln City,GK ,21,1028,66.0,53.0,63.0,50.0,59.0,59,70,210000.0,1000.0
A. Gambetta,France,RC Strasbourg,GK ,20,897,65.0,55.0,58.0,50.0,65.0,59,71,220000.0,2000.0
L. Cichos,Germany,FSV Zwickau,GK ,21,876,60.0,59.0,62.0,59.0,57.0,59,69,190000.0,1000.0
P. Pentz,Austria,FK Austria Wien,GK ,20,1102,61.0,58.0,57.0,55.0,58.0,59,66,160000.0,2000.0
A. Guarnone,Italy,Milan,GK ,18,997,67.0,57.0,51.0,55.0,67.0,59,74,260000.0,3000.0
L. Roberts,England,Walsall,GK ,22,1068,57.0,61.0,54.0,56.0,60.0,59,68,180000.0,1000.0
J. Villalpando,Mexico,Lobos de la BUAP,GK ,32,1201,60.0,55.0,62.0,58.0,55.0,59,59,90000.0,1000.0
J. Bekkema,Netherlands,SC Heerenveen,GK ,21,868,63.0,57.0,50.0,58.0,63.0,59,67,170000.0,1000.0
L. Bätge,Germany,Eintracht Frankfurt,GK ,19,885,61.0,56.0,56.0,58.0,60.0,59,73,280000.0,1000.0
F. Dmitrovic,Serbia,SCR Altach,GK ,21,936,61.0,59.0,53.0,58.0,63.0,59,70,210000.0,1000.0
A. Larsen,Denmark,Lyngby BK,GK ,27,897,57.0,58.0,61.0,61.0,60.0,59,63,140000.0,1000.0
Samu Casado,Spain,Málaga CF,GK ,20,1090,62.0,58.0,55.0,53.0,65.0,59,69,190000.0,2000.0
H. Sandvik,Norway,FK Haugesund,GK ,27,1131,58.0,58.0,57.0,56.0,59.0,59,61,130000.0,1000.0
F. Andersson,Sweden,Malmö FF,GK ,28,987,56.0,65.0,51.0,57.0,58.0,59,59,110000.0,1000.0
A. Paroni,Italy,Virtus Entella,GK ,27,979,59.0,57.0,47.0,57.0,62.0,59,61,130000.0,1000.0
A. Nurudeen,Ghana,KAS Eupen,GK ,18,860,64.0,59.0,58.0,57.0,61.0,59,76,260000.0,1000.0
T. Roex,Netherlands,Roda JC Kerkrade,GK ,19,897,62.0,61.0,61.0,58.0,61.0,59,70,200000.0,1000.0
A. Lamonge,France,FC Lorient,GK ,21,919,55.0,63.0,59.0,58.0,64.0,59,70,210000.0,1000.0
E. Parish,England,Dundee FC,GK ,27,969,63.0,58.0,59.0,55.0,58.0,59,61,130000.0,1000.0
L. Radliński,Poland,Sandecja Nowy Sącz,GK ,34,924,57.0,64.0,54.0,63.0,59.0,59,59,60000.0,1000.0
L. Bossin,Republic of Ireland,Nottingham Forest,GK ,21,1041,63.0,57.0,51.0,52.0,62.0,59,71,220000.0,2000.0
B. Lekström,Sweden,Hammarby IF,GK ,36,1017,58.0,59.0,56.0,60.0,58.0,59,59,20000.0,1000.0
E. Dahlin,Sweden,IFK Göteborg,GK ,28,1020,55.0,57.0,57.0,56.0,62.0,59,61,130000.0,1000.0
R. Gilmartin,Republic of Ireland,Colchester United,GK ,30,1034,67.0,54.0,54.0,54.0,61.0,59,59,100000.0,2000.0
M. Netolitzky,Germany,Hallescher FC,GK ,23,1060,60.0,57.0,55.0,55.0,64.0,59,64,150000.0,1000.0
D. Cornell,Wales,Northampton Town,GK ,26,1014,60.0,58.0,61.0,57.0,60.0,59,63,140000.0,1000.0
A. Bodart,Belgium,Standard de Liège,GK ,19,855,63.0,59.0,57.0,54.0,62.0,59,72,230000.0,1000.0
J. Flatt,England,Cheltenham Town,GK ,22,971,64.0,56.0,56.0,59.0,57.0,59,68,180000.0,4000.0
K. Forenc,Poland,Zagłębie Lubin,GK ,24,1029,62.0,60.0,62.0,58.0,57.0,59,63,140000.0,1000.0
S. Russell,England,Forest Green,GK ,34,1180,56.0,60.0,60.0,61.0,59.0,59,59,60000.0,2000.0
F. Cambeses,Argentina,Banfield,GK ,20,1002,58.0,59.0,57.0,59.0,61.0,59,73,280000.0,1000.0
E. Kronberg,United States,Montreal Impact,GK ,33,987,55.0,60.0,67.0,59.0,59.0,59,59,80000.0,1000.0
K. Stamatopoulos,Canada,AIK Solna,GK ,37,1014,60.0,52.0,57.0,61.0,58.0,59,59,10000.0,1000.0
J. Bouet,France,Amiens SC Football,GK ,33,866,59.0,65.0,63.0,59.0,58.0,59,59,80000.0,2000.0
G. Caffa,Argentina,Corporación Club Deportivo Tuluá,GK ,36,824,57.0,58.0,53.0,60.0,60.0,59,59,20000.0,1000.0
C. Månsson,Sweden,Kristiansund BK,GK ,36,1093,58.0,59.0,57.0,64.0,60.0,59,59,20000.0,1000.0
R. Lainton,England,Port Vale,GK ,27,1016,60.0,57.0,41.0,59.0,61.0,59,61,130000.0,2000.0
A. Gounet,France,US Quevilly-Rouen,GK ,28,1075,59.0,59.0,60.0,59.0,58.0,59,61,130000.0,1000.0
G. Rogers,Republic of Ireland,Dundalk,GK ,35,1004,63.0,55.0,56.0,58.0,61.0,59,59,40000.0,1000.0
A. Al Harbi,Saudi Arabia,Al Raed,GK ,22,997,63.0,58.0,52.0,54.0,58.0,59,67,170000.0,3000.0
S. McGuinness,Republic of Ireland,Drogheda United,GK ,22,1089,60.0,58.0,58.0,58.0,60.0,59,69,190000.0,1000.0
I. Gelios,Greece,FC Augsburg,GK ,25,1010,59.0,59.0,54.0,57.0,62.0,59,65,150000.0,2000.0
R. Hironaga,Japan,Sanfrecce Hiroshima,GK ,27,878,62.0,59.0,59.0,56.0,59.0,59,60,120000.0,1000.0
A. Zendejas,United States,Sporting Kansas City,GK ,21,1008,66.0,53.0,55.0,53.0,64.0,59,71,220000.0,1000.0
D. Rogers,Republic of Ireland,Aberdeen,GK ,23,1037,61.0,57.0,61.0,55.0,64.0,59,68,180000.0,1000.0
J. Wrąbel,Poland,Śląsk Wrocław,GK ,21,1003,61.0,57.0,53.0,54.0,61.0,59,69,190000.0,1000.0
M. Uusitalo,Finland,HJK Helsinki,GK ,20,887,65.0,55.0,59.0,51.0,63.0,59,69,190000.0,1000.0
M. Brunelli,Italy,Carpi,GK ,22,1047,63.0,52.0,51.0,50.0,69.0,59,65,160000.0,2000.0
L. Jonsson,Sweden,IK Sirius,GK ,24,913,60.0,61.0,55.0,56.0,59.0,59,63,140000.0,1000.0
J. Rasheed,Norway,BK Häcken,GK ,25,987,63.0,59.0,59.0,60.0,58.0,59,63,140000.0,1000.0
B. Collins,England,Forest Green,GK ,20,1058,60.0,56.0,56.0,57.0,62.0,59,71,220000.0,1000.0
E. Goshev,Russia,FC Rostov,GK ,20,1048,62.0,53.0,58.0,51.0,67.0,59,75,280000.0,2000.0
L. Cháves,Argentina,Argentinos Juniors,GK ,21,1062,61.0,55.0,57.0,56.0,60.0,59,65,160000.0,1000.0
E. Hedvall,Sweden,Östersunds FK,GK ,34,930,57.0,62.0,59.0,60.0,56.0,59,59,60000.0,1000.0
L. Fasan,Italy,Bury,GK ,23,1064,57.0,59.0,58.0,57.0,63.0,59,64,150000.0,1000.0
F. Pavoni,Italy,Chievo Verona,GK ,17,1016,65.0,59.0,51.0,55.0,65.0,59,74,250000.0,1000.0
A. Al Saleh,Saudi Arabia,Ettifaq FC,GK ,27,1042,58.0,56.0,62.0,59.0,59.0,59,61,130000.0,2000.0
S. Shearer,Scotland,Oxford United,GK ,36,1037,59.0,56.0,52.0,60.0,60.0,59,59,20000.0,1000.0
D. Sugimoto,Japan,Yokohama F. Marinos,GK ,23,863,57.0,62.0,59.0,60.0,59.0,59,64,150000.0,1000.0
Y. Diouf,France,ES Troyes AC,GK ,17,1011,59.0,61.0,59.0,60.0,59.0,59,80,280000.0,1000.0
K. Kirihata,Japan,Kashiwa Reysol,GK ,30,788,52.0,57.0,62.0,69.0,53.0,59,59,100000.0,1000.0
K. Tittel,Germany,Chemnitzer FC,GK ,23,871,64.0,60.0,60.0,49.0,61.0,59,64,150000.0,1000.0
T. Sugiyama,Japan,Hokkaido Consadole Sapporo,GK ,36,925,54.0,60.0,63.0,63.0,51.0,59,59,20000.0,1000.0
M. Engl,Germany,Rot-Weiß Erfurt,GK ,19,1108,61.0,52.0,60.0,58.0,60.0,59,72,230000.0,1000.0
A. Maksimenko,Russia,Spartak Moscow,GK ,19,898,61.0,52.0,63.0,58.0,66.0,59,72,230000.0,2000.0
R. Charles-Cook,England,Swindon Town,GK ,23,1091,65.0,58.0,60.0,49.0,61.0,59,68,180000.0,2000.0
L. García,Mexico,Deportivo Toluca,GK ,24,1180,61.0,58.0,61.0,58.0,55.0,59,64,150000.0,1000.0
J. Karlstrøm,Norway,Tromsø IL,GK ,20,894,60.0,58.0,57.0,57.0,60.0,59,70,210000.0,1000.0
C. Riegler,Austria,SKN St. Pölten,GK ,25,939,60.0,57.0,59.0,56.0,59.0,58,62,120000.0,2000.0
V. Myhra,Norway,Odds BK,GK ,20,1054,58.0,56.0,57.0,57.0,60.0,58,69,170000.0,1000.0
G. Banguera,Colombia,Atlético Huila,GK ,21,948,64.0,45.0,55.0,54.0,66.0,58,68,160000.0,1000.0
M. Roffo,Argentina,Boca Juniors,GK ,17,885,58.0,61.0,56.0,55.0,61.0,58,81,230000.0,1000.0
Dani Hernández,Spain,AD Alcorcón,GK ,21,943,59.0,56.0,60.0,58.0,57.0,58,68,160000.0,1000.0
L. Chiappero,Argentina,Defensa y Justicia,GK ,23,987,58.0,51.0,53.0,59.0,57.0,58,63,120000.0,1000.0
L. Kelly,Scotland,Rangers,GK ,21,990,60.0,56.0,61.0,55.0,62.0,58,70,180000.0,4000.0
I. Leschuk,Russia,Dinamo Moscow,GK ,21,855,63.0,56.0,50.0,50.0,62.0,58,67,150000.0,2000.0
F. Hall,Bermuda,Limerick FC,GK ,32,1052,61.0,52.0,40.0,57.0,60.0,58,58,70000.0,1000.0
A. Knezovic,Croatia,Kristiansund BK,GK ,24,888,56.0,60.0,52.0,60.0,59.0,58,65,130000.0,1000.0
A. Torres,Mexico,Guadalajara,GK ,21,1111,62.0,57.0,53.0,50.0,58.0,58,69,170000.0,4000.0
K. Le Roy,France,En Avant de Guingamp,GK ,19,837,58.0,58.0,59.0,59.0,59.0,58,68,150000.0,1000.0
P. McLain,United States,Minnesota Thunder,GK ,28,1053,61.0,55.0,61.0,53.0,62.0,58,58,90000.0,1000.0
T. Müller,Germany,Hallescher FC,GK ,19,986,58.0,56.0,54.0,54.0,60.0,58,70,170000.0,1000.0
J. Bonham,Republic of Ireland,Carlisle United,GK ,23,1075,58.0,56.0,67.0,58.0,60.0,58,66,140000.0,4000.0
L. Fernández,Mexico,Tigres U.A.N.L.,GK ,24,1015,57.0,61.0,58.0,49.0,64.0,58,66,140000.0,5000.0
E. Gründemann,Germany,Hansa Rostock,GK ,18,812,56.0,57.0,58.0,58.0,62.0,58,78,210000.0,1000.0
S. Cleveland,United States,Chicago Fire Soccer Club,GK ,23,1116,57.0,55.0,60.0,49.0,63.0,58,64,130000.0,1000.0
M. Acton,Australia,Melbourne Victory,GK ,25,1022,61.0,54.0,56.0,53.0,62.0,58,63,120000.0,1000.0
M. Brouwer,Netherlands,Heracles Almelo,GK ,24,934,62.0,57.0,57.0,53.0,59.0,58,63,120000.0,1000.0
L. Ketterer,United States,Columbus Crew SC,GK ,23,971,54.0,57.0,55.0,65.0,52.0,58,63,120000.0,1000.0
T. Doornbusch,Netherlands,SC Heerenveen,GK ,17,911,61.0,60.0,59.0,59.0,62.0,58,75,200000.0,1000.0
P. Gallacher,Scotland,Heart of Midlothian,GK ,37,1022,55.0,60.0,53.0,56.0,57.0,58,58,10000.0,1000.0
I. Rodríguez,Mexico,Puebla,GK ,24,1152,58.0,55.0,55.0,58.0,58.0,58,64,130000.0,1000.0
Pablo Cacharrón,Spain,CD Lugo,GK ,20,1058,56.0,57.0,54.0,56.0,59.0,58,70,180000.0,1000.0
B. Verbong,Netherlands,VVV-Venlo,GK ,17,869,61.0,59.0,60.0,52.0,58.0,58,70,150000.0,1000.0
N. Kocik,France,Valenciennes FC,GK ,18,840,58.0,51.0,59.0,62.0,61.0,58,70,160000.0,1000.0
V. Baume,Belgium,Sporting Charleroi,GK ,20,1052,59.0,55.0,57.0,52.0,64.0,58,69,170000.0,1000.0
T. Demirtaş,Turkey,Gençlerbirliği SK,GK ,23,815,61.0,57.0,55.0,55.0,61.0,58,65,130000.0,2000.0
T. Schützenauer,Austria,SK Sturm Graz,GK ,20,1002,58.0,55.0,60.0,58.0,56.0,58,66,140000.0,2000.0
B. Derksen,Netherlands,Roda JC Kerkrade,GK ,18,860,59.0,60.0,59.0,56.0,60.0,58,68,140000.0,1000.0
B. Bayazit,Netherlands,Vitesse,GK ,18,811,54.0,61.0,53.0,60.0,57.0,58,75,210000.0,1000.0
J. Albrecht,Germany,SV Wehen Wiesbaden,GK ,18,865,58.0,58.0,59.0,55.0,57.0,58,73,210000.0,1000.0
T. Wiesner,Germany,Fortuna Düsseldorf,GK ,20,967,61.0,57.0,56.0,53.0,59.0,58,72,230000.0,2000.0
K. Matsui,Japan,Omiya Ardija,GK ,31,854,59.0,57.0,51.0,57.0,59.0,58,58,80000.0,1000.0
M. Nardi,Italy,Parma,GK ,30,878,55.0,56.0,58.0,58.0,59.0,58,58,80000.0,1000.0
Lee Jae Hyeong,Korea Republic,Jeonbuk Hyundai Motors,GK ,19,872,58.0,58.0,56.0,58.0,61.0,58,69,170000.0,1000.0
M. Stryjek,Poland,Accrington Stanley,GK ,20,995,61.0,53.0,51.0,53.0,59.0,58,68,160000.0,1000.0
L. Álvarez,Argentina,Chacarita Juniors,GK ,23,892,56.0,54.0,52.0,60.0,61.0,58,66,140000.0,1000.0
L. Italiano,Australia,Wellington Phoenix,GK ,26,967,59.0,56.0,56.0,59.0,59.0,58,62,120000.0,1000.0
J. Fryer,England,Stevenage,GK ,21,1028,69.0,54.0,57.0,53.0,61.0,58,70,180000.0,1000.0
G. Poluzzi,Italy,Ferrara (SPAL),GK ,29,824,56.0,57.0,46.0,53.0,68.0,58,59,100000.0,2000.0
F. Al Habib,Saudi Arabia,Al Shabab,GK ,19,861,57.0,64.0,49.0,53.0,62.0,58,67,140000.0,1000.0
D. Nizic,Australia,Morecambe,GK ,22,1045,61.0,56.0,56.0,53.0,60.0,58,68,160000.0,1000.0
T. Akmurzin,Russia,Rubin Kazan,GK ,19,1052,64.0,48.0,58.0,51.0,65.0,58,75,230000.0,2000.0
G. Bokwé,Cameroon,,GK ,27,977,56.0,61.0,55.0,59.0,63.0,58,60,0.0,0.0
R. Griffiths,England,Motherwell,GK ,21,1055,59.0,55.0,64.0,53.0,62.0,58,69,170000.0,1000.0
A. Marfaing,France,Le Havre AC,GK ,21,1065,60.0,53.0,54.0,61.0,58.0,58,70,180000.0,1000.0
H. Oka,Japan,Ventforet Kofu,GK ,29,951,58.0,46.0,53.0,64.0,60.0,58,59,100000.0,1000.0
V. Noring,Sweden,Heart of Midlothian,GK ,26,985,58.0,59.0,53.0,56.0,58.0,58,60,110000.0,1000.0
L. Saxton,England,GIF Sundsvall,GK ,27,938,57.0,59.0,60.0,56.0,55.0,58,59,100000.0,1000.0
G. Legg,England,Reading,GK ,21,1189,57.0,55.0,44.0,60.0,62.0,58,68,160000.0,3000.0
F. Adorni,Italy,Parma,GK ,17,862,59.0,59.0,50.0,53.0,58.0,58,73,200000.0,1000.0
D. Pietrzkiewicz,Poland,Sandecja Nowy Sącz,GK ,29,973,56.0,56.0,49.0,56.0,64.0,58,59,100000.0,1000.0
M. Peano,Argentina,Unión de Santa Fe,GK ,18,897,58.0,56.0,57.0,58.0,61.0,58,72,210000.0,1000.0
M. Safonov,Russia,FC Krasnodar,GK ,18,843,59.0,65.0,64.0,52.0,61.0,58,77,210000.0,2000.0
Gorka Giralt,Spain,Real Oviedo,GK ,21,923,61.0,58.0,46.0,59.0,56.0,58,68,160000.0,1000.0
M. Šarkić,Montenegro,Wigan Athletic,GK ,19,959,59.0,60.0,56.0,62.0,60.0,58,72,230000.0,2000.0
A. Chapman,England,Accrington Stanley,GK ,27,917,64.0,57.0,53.0,57.0,55.0,58,60,100000.0,1000.0
F. Rossi,Italy,Atalanta,GK ,26,902,62.0,59.0,62.0,58.0,60.0,58,62,120000.0,3000.0
T. Castella,Switzerland,FC Lausanne-Sports,GK ,24,1011,62.0,54.0,51.0,52.0,67.0,58,65,130000.0,1000.0
F. Bonansea,Argentina,Belgrano de Córdoba,GK ,19,985,63.0,52.0,51.0,53.0,62.0,58,71,190000.0,1000.0
L. Grill,Germany,1. FC Kaiserslautern,GK ,18,867,59.0,55.0,55.0,56.0,59.0,58,76,210000.0,1000.0
L. Montipó,Italy,Novara,GK ,21,1023,57.0,54.0,52.0,58.0,59.0,58,68,160000.0,1000.0
J. Gies,Germany,SV Meppen,GK ,22,848,57.0,59.0,55.0,53.0,64.0,58,64,130000.0,1000.0
E. Louro,United States,New York Red Bulls,GK ,21,1017,59.0,56.0,62.0,59.0,59.0,58,65,130000.0,1000.0
J. McDonnell,England,AFC Wimbledon,GK ,23,877,58.0,56.0,54.0,58.0,62.0,58,67,150000.0,1000.0
N. Townsend,England,Barnsley,GK ,22,1061,54.0,61.0,44.0,61.0,57.0,58,67,150000.0,1000.0
A. Pearce,Australia,Central Coast Mariners,GK ,20,1018,57.0,56.0,55.0,58.0,56.0,57,71,190000.0,1000.0
M. Lansing,United States,Aalborg BK,GK ,23,1094,57.0,55.0,62.0,55.0,56.0,57,66,120000.0,1000.0
C. Brown,United States,Houston Dynamo,GK ,25,996,51.0,58.0,67.0,51.0,64.0,57,63,100000.0,1000.0
Y. Mersin,Turkey,Crawley Town,GK ,22,988,57.0,52.0,56.0,58.0,59.0,57,65,110000.0,1000.0
E. Zharikov,Russia,FC Ural,GK ,19,1010,59.0,53.0,59.0,53.0,60.0,57,73,180000.0,1000.0
J. Meneses,Colombia,CD America de Cali,GK ,33,870,56.0,60.0,57.0,58.0,58.0,57,57,50000.0,1000.0
A. Timofeev,Russia,FC Ural,GK ,21,885,56.0,54.0,53.0,54.0,62.0,57,67,130000.0,2000.0
M. O'Leary,England,Bristol City,GK ,20,1017,60.0,58.0,54.0,58.0,56.0,57,68,140000.0,3000.0
F. Serraiocco,Italy,Carpi,GK ,23,1054,58.0,55.0,49.0,53.0,61.0,57,62,100000.0,1000.0
C. Burton,England,Hull City,GK ,20,1022,58.0,56.0,54.0,55.0,60.0,57,69,150000.0,1000.0
R. Cardozo,Paraguay,Águilas Doradas,GK ,28,851,55.0,57.0,58.0,60.0,57.0,57,58,80000.0,1000.0
M. Köbbing,Germany,1. FC Heidenheim,GK ,20,910,62.0,58.0,53.0,52.0,57.0,57,70,160000.0,1000.0
G. Sava,Romania,Dundalk,GK ,30,1064,59.0,56.0,55.0,58.0,57.0,57,57,70000.0,1000.0
D. Margush,Australia,Adelaide United,GK ,19,852,55.0,57.0,52.0,57.0,58.0,57,71,180000.0,1000.0
R. Jendrusch,Germany,FC Erzgebirge Aue,GK ,21,895,62.0,54.0,54.0,50.0,62.0,57,67,130000.0,1000.0
M. Nilsson,Sweden,Halmstads BK,GK ,23,949,57.0,54.0,58.0,56.0,62.0,57,65,110000.0,1000.0
M. Al Haidari,Saudi Arabia,Al Hilal,GK ,21,907,55.0,58.0,55.0,58.0,55.0,57,67,130000.0,3000.0
R. Etheridge,England,Doncaster Rovers,GK ,22,1044,59.0,55.0,57.0,54.0,58.0,57,66,120000.0,1000.0
T. Akahoshi,Japan,Sagan Tosu,GK ,33,852,54.0,53.0,54.0,61.0,62.0,57,57,50000.0,1000.0
F. Dornebusch,Germany,VfL Bochum,GK ,22,1022,60.0,46.0,49.0,61.0,64.0,57,66,120000.0,2000.0
L. Plogmann,Germany,Werder Bremen II,GK ,17,991,58.0,56.0,54.0,46.0,63.0,57,81,190000.0,1000.0
N. Trott,England,West Ham United,GK ,18,900,57.0,58.0,61.0,54.0,60.0,57,75,170000.0,3000.0
M. Pais,United States,Toronto FC,GK ,26,1133,55.0,55.0,59.0,59.0,58.0,57,62,100000.0,1000.0
C. Mafoumbi,France,Blackpool,GK ,23,1055,61.0,51.0,57.0,50.0,62.0,57,63,100000.0,1000.0
V. Karakuş,Turkey,Kayserispor,GK ,19,896,62.0,58.0,49.0,48.0,64.0,57,74,180000.0,1000.0
F. Buntić,Croatia,FC Ingolstadt 04,GK ,20,811,57.0,55.0,56.0,56.0,56.0,57,71,190000.0,2000.0
F. Sollacaro,France,AC Ajaccio,GK ,23,937,62.0,49.0,55.0,50.0,64.0,57,64,110000.0,1000.0
S. Rodas,Colombia,Alianza Petrolera,GK ,27,1015,59.0,52.0,66.0,58.0,54.0,57,59,80000.0,1000.0
A. Berezin,Russia,Arsenal Tula,GK ,24,1035,61.0,49.0,54.0,53.0,63.0,57,64,110000.0,2000.0
O. Ottesen,Denmark,FC Midtjylland,GK ,18,911,53.0,54.0,58.0,56.0,60.0,57,67,120000.0,1000.0
M. Kryczka,Poland,Wisła Płock,GK ,24,840,59.0,58.0,65.0,54.0,62.0,57,61,100000.0,1000.0
S. Al Ghamdi,Saudi Arabia,Al Taawoun,GK ,25,1026,55.0,55.0,56.0,53.0,64.0,57,61,100000.0,2000.0
F. Due,Denmark,Randers FC,GK ,24,984,55.0,50.0,61.0,55.0,60.0,57,63,100000.0,1000.0
A. Shubin,Russia,FC Ural,GK ,20,1002,59.0,55.0,53.0,51.0,60.0,57,72,190000.0,2000.0
K. Ishikawa,Japan,Vegalta Sendai,GK ,24,859,59.0,59.0,55.0,47.0,59.0,57,61,100000.0,1000.0
T. Williams,New Zealand,,GK ,33,1025,57.0,53.0,63.0,56.0,60.0,57,57,0.0,0.0
J. León,Mexico,Club América,GK ,21,902,63.0,52.0,60.0,53.0,62.0,57,68,140000.0,4000.0
G. Banaziak,France,Amiens SC Football,GK ,20,867,59.0,58.0,59.0,58.0,59.0,57,69,150000.0,1000.0
S. Collis,England,Rochdale,GK ,36,1038,61.0,55.0,60.0,57.0,51.0,57,57,10000.0,1000.0
B. Austin,England,Tottenham Hotspur,GK ,18,838,62.0,50.0,46.0,57.0,61.0,57,77,170000.0,3000.0
A. García,Colombia,Atlético Huila,GK ,23,840,63.0,48.0,55.0,48.0,62.0,57,65,110000.0,1000.0
Manu Cedrón,Spain,CD Lugo,GK ,21,1134,65.0,55.0,54.0,49.0,58.0,57,67,130000.0,1000.0
T. Figueroa,Argentina,Vélez Sarsfield,GK ,22,846,58.0,55.0,62.0,55.0,59.0,57,64,110000.0,1000.0
A. Santopadre,Italy,Perugia,GK ,18,839,55.0,58.0,54.0,52.0,59.0,57,73,170000.0,1000.0
A. Bass,England,Portsmouth,GK ,19,1132,58.0,52.0,51.0,51.0,59.0,57,69,140000.0,1000.0
R. Suzuki,Japan,Gamba Osaka,GK ,23,933,60.0,63.0,55.0,49.0,60.0,57,63,100000.0,1000.0
M. Sprang,Germany,FSV Zwickau,GK ,16,830,58.0,61.0,57.0,53.0,52.0,57,70,140000.0,1000.0
C. Dawson,England,Sheffield Wednesday,GK ,21,1086,56.0,57.0,59.0,58.0,55.0,57,67,130000.0,4000.0
G. Larsonneur,France,Stade Brestois 29,GK ,20,1033,59.0,54.0,57.0,53.0,59.0,57,70,160000.0,1000.0
S. Custers,Netherlands,VVV-Venlo,GK ,17,847,57.0,56.0,54.0,56.0,58.0,57,72,170000.0,1000.0
F. Pizzicanella,Argentina,Atlético Tucumán,GK ,21,869,56.0,58.0,60.0,52.0,55.0,57,65,120000.0,1000.0
M. Maroši,Slovakia,Doncaster Rovers,GK ,23,1011,61.0,49.0,54.0,55.0,59.0,57,62,100000.0,1000.0
P. Jensen,Denmark,FC Nordsjælland,GK ,19,875,55.0,55.0,56.0,57.0,59.0,57,64,100000.0,1000.0
C. Day,England,Stevenage,GK ,41,825,51.0,52.0,45.0,60.0,52.0,57,57,10000.0,1000.0
G. Murray,Republic of Ireland,Bohemian FC,GK ,23,1057,58.0,56.0,55.0,56.0,58.0,57,65,110000.0,1000.0
W. Cuesta,Colombia,Deportes Tolima,GK ,24,1001,53.0,54.0,55.0,70.0,48.0,57,63,100000.0,1000.0
L. Bilboe,England,Rotherham United,GK ,19,870,60.0,57.0,60.0,56.0,55.0,57,72,180000.0,1000.0
K. Martin,Switzerland,FC Lausanne-Sports,GK ,22,915,60.0,53.0,48.0,54.0,62.0,56,67,120000.0,1000.0
B. Lerch,Germany, SSV Jahn Regensburg,GK ,21,1039,57.0,56.0,53.0,51.0,60.0,56,66,110000.0,1000.0
W. Brown,England,Oxford United,GK ,40,885,57.0,54.0,48.0,50.0,62.0,56,56,10000.0,1000.0
S. Patton,Northern Ireland,Sligo Rovers,GK ,21,1033,57.0,52.0,57.0,52.0,58.0,56,63,90000.0,1000.0
J. Kanayama,Japan,Hokkaido Consadole Sapporo,GK ,29,859,47.0,60.0,50.0,50.0,58.0,56,56,60000.0,1000.0
C. Libertiaux,Belgium,Royal Excel Mouscron,GK ,19,870,52.0,57.0,59.0,56.0,62.0,56,68,120000.0,1000.0
M. Schevenels,Belgium,Sint-Truidense VV,GK ,17,823,57.0,59.0,51.0,48.0,62.0,56,76,150000.0,1000.0
D. Grange,France,Olympique Lyonnais,GK ,21,855,59.0,54.0,54.0,60.0,60.0,56,68,130000.0,4000.0
N. Lemaître,France,Stade de Reims,GK ,20,924,61.0,52.0,56.0,54.0,59.0,56,68,130000.0,1000.0
C. Gallagher,Republic of Ireland,Finn Harps,GK ,25,1075,59.0,51.0,44.0,54.0,61.0,56,60,80000.0,1000.0
Y. Uekusa,Japan,Shimizu S-Pulse,GK ,34,1329,46.0,48.0,59.0,55.0,65.0,56,56,40000.0,1000.0
V. Jovic,Bosnia Herzegovina,SV Sandhausen,GK ,19,1005,52.0,55.0,55.0,55.0,57.0,56,72,160000.0,1000.0
W. Al Enazi,Saudi Arabia,Al Nassr,GK ,20,891,58.0,55.0,53.0,55.0,58.0,56,65,110000.0,3000.0
A. Fagerström,Sweden,Örebro SK,GK ,25,875,59.0,55.0,56.0,54.0,55.0,56,60,80000.0,1000.0
J. Orobio,Colombia,Atlético Bucaramanga,GK ,20,847,58.0,53.0,57.0,53.0,57.0,56,68,130000.0,1000.0
Kim Tae Ho,Korea Republic,Jeonbuk Hyundai Motors,GK ,25,1040,59.0,47.0,54.0,57.0,59.0,56,62,90000.0,1000.0
M. Bersano,United States,San Jose Earthquakes,GK ,24,1087,56.0,51.0,60.0,54.0,58.0,56,62,90000.0,1000.0
T. Paterok,Germany,VfL Osnabrück,GK ,24,982,59.0,51.0,57.0,52.0,63.0,56,62,90000.0,1000.0
J. Sievers,Germany,1. FC Kaiserslautern,GK ,22,950,60.0,52.0,49.0,54.0,57.0,56,66,110000.0,1000.0
L. Malagón,Mexico,Monarcas Morelia,GK ,20,844,57.0,54.0,58.0,59.0,58.0,56,68,130000.0,1000.0
M. Miño,Argentina,Rosario Central,GK ,19,846,61.0,56.0,49.0,46.0,58.0,56,73,160000.0,1000.0
