Name,Nationality,Club,Preferred Positions,Age,Special,Acceleration,Aggression,Agility,Balance,Ball control,Composure,Crossing,Curve,Dribbling,Finishing,Free kick accuracy,Heading accuracy,Interceptions,Jumping,Long passing,Long shots,Marking,Penalties,Positioning,Reactions,Short passing,Shot power,Sliding tackle,Sprint speed,Stamina,Standing tackle,Strength,Vision,Volleys,Overall,Potential,Wage,Value
J. Ibáñez,Argentina,Arsenal de Sarandí,LM ,20,1585,69.0,44.0,60.0,59.0,60.0,59.0,61.0,62.0,64.0,56.0,49.0,50.0,31.0,52.0,57.0,55.0,30.0,60.0,47.0,57.0,59.0,61.0,39.0,67.0,87.0,36.0,61.0,52.0,49.0,62,72,2000.0,500000.0
M. Heider,Germany,VfL Osnabrück,ST RM ,31,1636,72.0,60.0,60.0,57.0,65.0,63.0,69.0,54.0,55.0,69.0,47.0,64.0,25.0,75.0,66.0,56.0,23.0,58.0,68.0,60.0,67.0,60.0,41.0,75.0,95.0,47.0,70.0,55.0,65.0,62,62,1000.0,270000.0
D. Loft,England,Colchester United,CM ,30,1782,64.0,70.0,68.0,62.0,61.0,57.0,59.0,65.0,64.0,58.0,62.0,50.0,62.0,70.0,64.0,62.0,50.0,63.0,54.0,70.0,63.0,70.0,47.0,68.0,65.0,45.0,72.0,58.0,59.0,62,62,3000.0,280000.0
A. Arellano,Mexico,Querétaro,CDM ,22,1638,69.0,61.0,68.0,77.0,61.0,58.0,47.0,48.0,54.0,39.0,48.0,55.0,59.0,61.0,63.0,39.0,59.0,51.0,34.0,60.0,67.0,56.0,58.0,69.0,69.0,58.0,63.0,48.0,34.0,62,71,2000.0,400000.0
J. Sinnott,England,Chesterfield,CDM CM ,23,1630,74.0,48.0,62.0,67.0,62.0,58.0,46.0,49.0,62.0,55.0,47.0,44.0,48.0,52.0,60.0,60.0,43.0,50.0,53.0,64.0,65.0,60.0,47.0,65.0,68.0,57.0,64.0,61.0,44.0,62,66,3000.0,400000.0
D. Barinov,Russia,Lokomotiv Moscow,CB CDM ,20,1623,63.0,63.0,62.0,69.0,51.0,53.0,44.0,41.0,52.0,34.0,49.0,54.0,67.0,60.0,57.0,49.0,58.0,46.0,53.0,66.0,68.0,62.0,62.0,67.0,56.0,60.0,61.0,52.0,46.0,62,76,5000.0,600000.0
N. Sangaré,Germany,Antalyaspor,RM RB ,23,1524,90.0,57.0,65.0,66.0,47.0,49.0,54.0,45.0,41.0,29.0,31.0,48.0,54.0,78.0,31.0,32.0,47.0,39.0,43.0,58.0,52.0,49.0,59.0,90.0,76.0,62.0,63.0,37.0,27.0,62,69,3000.0,350000.0
J. Berrett,Republic of Ireland,Grimsby Town,CM ,28,1750,70.0,56.0,73.0,71.0,60.0,63.0,58.0,61.0,49.0,53.0,66.0,49.0,57.0,73.0,58.0,58.0,51.0,60.0,57.0,63.0,66.0,63.0,56.0,67.0,84.0,55.0,57.0,58.0,48.0,62,62,3000.0,300000.0
R. Leal,Costa Rica,KV Mechelen,RM ,20,1581,69.0,47.0,75.0,88.0,67.0,52.0,63.0,54.0,66.0,45.0,62.0,42.0,30.0,48.0,60.0,63.0,27.0,44.0,55.0,57.0,62.0,73.0,35.0,65.0,38.0,38.0,33.0,62.0,50.0,62,71,2000.0,475000.0
Kim Jung Hwan,Korea Republic,FC Seoul,RW RM ,20,1503,73.0,45.0,66.0,64.0,57.0,56.0,51.0,44.0,58.0,64.0,41.0,54.0,39.0,47.0,57.0,46.0,24.0,42.0,62.0,57.0,64.0,57.0,31.0,75.0,59.0,27.0,58.0,58.0,42.0,62,73,1000.0,525000.0
Yun Sang Ho,Korea Republic,Incheon United FC,CM ,25,1570,40.0,63.0,69.0,76.0,63.0,57.0,52.0,45.0,59.0,52.0,42.0,43.0,39.0,62.0,64.0,58.0,35.0,49.0,58.0,56.0,67.0,56.0,38.0,51.0,78.0,41.0,52.0,62.0,50.0,62,66,1000.0,375000.0
M. Proietti,Italy,Pescara,CDM CM ,25,1518,59.0,57.0,44.0,68.0,66.0,56.0,42.0,49.0,54.0,18.0,36.0,54.0,61.0,61.0,62.0,57.0,57.0,31.0,26.0,67.0,69.0,64.0,50.0,41.0,65.0,51.0,59.0,68.0,33.0,62,65,1000.0,375000.0
D. Erdoğan,Turkey,LASK Linz,CM ,20,1582,66.0,66.0,57.0,59.0,64.0,58.0,46.0,42.0,58.0,32.0,42.0,58.0,57.0,64.0,63.0,63.0,43.0,38.0,59.0,52.0,65.0,49.0,56.0,64.0,70.0,44.0,70.0,63.0,32.0,62,76,3000.0,650000.0
D. Schütz,Austria,SKN St. Pölten,CF RM LM ,26,1666,86.0,49.0,93.0,91.0,61.0,44.0,63.0,71.0,65.0,55.0,61.0,58.0,22.0,89.0,58.0,59.0,21.0,64.0,44.0,48.0,59.0,64.0,23.0,81.0,72.0,25.0,31.0,43.0,58.0,62,62,3000.0,325000.0
J. Lorch,Germany,SV Wehen Wiesbaden,LM LB ,21,1590,65.0,60.0,58.0,57.0,61.0,48.0,58.0,44.0,57.0,34.0,36.0,58.0,59.0,57.0,47.0,39.0,59.0,52.0,50.0,52.0,56.0,51.0,59.0,66.0,86.0,60.0,69.0,51.0,44.0,62,74,1000.0,475000.0
S. Furtado,France,US Orléans Loiret Football,RM RB ,22,1604,73.0,48.0,70.0,66.0,58.0,52.0,61.0,51.0,65.0,42.0,48.0,41.0,62.0,55.0,55.0,52.0,56.0,51.0,42.0,55.0,62.0,48.0,64.0,71.0,58.0,65.0,41.0,55.0,50.0,62,71,1000.0,400000.0
E. Konsa,England,Charlton Athletic,CDM CB ,19,1578,74.0,50.0,63.0,69.0,58.0,58.0,38.0,37.0,47.0,34.0,38.0,57.0,62.0,70.0,58.0,32.0,59.0,38.0,50.0,53.0,61.0,51.0,61.0,78.0,66.0,65.0,70.0,49.0,35.0,62,81,1000.0,600000.0
Ronaldo,Brazil,Ohod Club,CDM ,23,1714,65.0,56.0,58.0,76.0,62.0,54.0,58.0,50.0,62.0,60.0,43.0,55.0,58.0,72.0,54.0,53.0,64.0,54.0,52.0,59.0,64.0,59.0,63.0,63.0,65.0,64.0,72.0,51.0,51.0,62,70,3000.0,375000.0
J. Arrieta,Colombia,Jaguares Fútbol Club,RM ST ,26,1418,65.0,52.0,58.0,59.0,59.0,48.0,23.0,32.0,57.0,63.0,25.0,58.0,20.0,55.0,24.0,50.0,24.0,54.0,63.0,65.0,48.0,58.0,26.0,67.0,71.0,25.0,73.0,44.0,49.0,62,65,1000.0,375000.0
T. Hawkridge,England,Notts County,LM RM ,27,1575,57.0,34.0,71.0,72.0,64.0,63.0,64.0,61.0,60.0,55.0,59.0,36.0,41.0,47.0,61.0,52.0,39.0,41.0,52.0,58.0,59.0,53.0,45.0,64.0,80.0,36.0,44.0,64.0,46.0,62,62,4000.0,325000.0
T. Kanai,Japan,Yokohama F. Marinos,LM RB LB ,27,1632,63.0,41.0,58.0,75.0,64.0,47.0,68.0,69.0,64.0,58.0,44.0,44.0,47.0,70.0,57.0,56.0,61.0,33.0,21.0,46.0,63.0,62.0,61.0,65.0,77.0,65.0,67.0,25.0,49.0,62,63,2000.0,280000.0
E. Agüero,Argentina,San Martín de San Juan,CM ,22,1661,60.0,65.0,56.0,62.0,61.0,42.0,42.0,45.0,60.0,39.0,46.0,56.0,56.0,56.0,62.0,51.0,49.0,53.0,55.0,58.0,64.0,63.0,54.0,61.0,91.0,61.0,74.0,54.0,40.0,62,72,2000.0,475000.0
Cristian,Spain,SD Eibar,CDM CB ,22,1358,35.0,68.0,45.0,45.0,55.0,62.0,28.0,33.0,38.0,18.0,26.0,65.0,54.0,62.0,50.0,24.0,56.0,38.0,23.0,61.0,57.0,53.0,57.0,42.0,63.0,65.0,77.0,30.0,32.0,62,74,3000.0,475000.0
H. Barry,Guinea,Orlando City Soccer Club,ST LM RM ,24,1533,89.0,54.0,73.0,75.0,56.0,67.0,49.0,37.0,71.0,56.0,30.0,54.0,16.0,73.0,27.0,49.0,22.0,55.0,58.0,57.0,58.0,49.0,23.0,85.0,73.0,30.0,65.0,55.0,36.0,62,65,2000.0,375000.0
M. Biankadi,Congo,Rot-Weiß Erfurt,CM CAM ST LM ,22,1683,69.0,61.0,78.0,65.0,60.0,58.0,58.0,45.0,60.0,55.0,38.0,56.0,58.0,66.0,57.0,45.0,68.0,41.0,62.0,58.0,60.0,55.0,54.0,72.0,79.0,60.0,69.0,50.0,30.0,62,69,1000.0,425000.0
Roger Figueras,Spain,Gimnàstic de Tarragona,CM CDM CB ,20,1587,61.0,59.0,69.0,55.0,62.0,52.0,48.0,54.0,59.0,27.0,36.0,62.0,60.0,68.0,59.0,38.0,60.0,45.0,37.0,56.0,64.0,58.0,61.0,63.0,57.0,62.0,62.0,58.0,34.0,62,72,2000.0,425000.0
Mateus,Brazil,Omiya Ardija,CM LM ,22,1650,69.0,47.0,78.0,86.0,64.0,52.0,62.0,46.0,62.0,45.0,53.0,45.0,43.0,82.0,54.0,55.0,38.0,50.0,56.0,54.0,62.0,50.0,43.0,73.0,71.0,50.0,62.0,57.0,43.0,62,70,1000.0,450000.0
N. Andreev,Russia,Zenit St. Petersburg,RM ,19,1513,75.0,32.0,81.0,78.0,65.0,50.0,63.0,55.0,64.0,62.0,43.0,40.0,20.0,50.0,50.0,50.0,36.0,62.0,50.0,60.0,60.0,59.0,33.0,73.0,51.0,31.0,26.0,49.0,49.0,62,72,6000.0,475000.0
J. Inamoto,Japan,Hokkaido Consadole Sapporo,RM CM CDM ,37,1759,62.0,72.0,64.0,66.0,64.0,60.0,62.0,50.0,62.0,55.0,68.0,63.0,59.0,59.0,57.0,62.0,64.0,58.0,55.0,60.0,64.0,77.0,66.0,57.0,38.0,67.0,57.0,63.0,54.0,62,62,1000.0,40000.0
C. Udoji,Nigeria,Lillestrøm SK,CAM LM ST ,30,1649,75.0,40.0,81.0,80.0,66.0,59.0,53.0,55.0,67.0,63.0,44.0,39.0,22.0,80.0,55.0,47.0,36.0,48.0,64.0,63.0,64.0,57.0,37.0,73.0,72.0,28.0,69.0,64.0,48.0,62,62,1000.0,290000.0
M. Duffy,Northern Ireland,Dundalk,LM ,22,1675,68.0,46.0,64.0,75.0,61.0,57.0,59.0,57.0,63.0,60.0,56.0,52.0,46.0,72.0,53.0,59.0,48.0,51.0,59.0,58.0,61.0,58.0,47.0,71.0,56.0,47.0,61.0,57.0,53.0,62,72,1000.0,500000.0
S. McAllister,England,Grimsby Town,CM ,29,1676,49.0,70.0,72.0,81.0,63.0,64.0,48.0,50.0,51.0,42.0,50.0,54.0,60.0,82.0,54.0,40.0,55.0,47.0,49.0,64.0,68.0,50.0,58.0,49.0,82.0,51.0,70.0,59.0,42.0,61,61,3000.0,240000.0
A. Smith,England,Notts County,ST CDM CM ,36,1666,40.0,71.0,58.0,59.0,60.0,66.0,57.0,55.0,58.0,56.0,49.0,65.0,61.0,62.0,59.0,55.0,57.0,61.0,61.0,63.0,63.0,53.0,65.0,33.0,40.0,58.0,65.0,68.0,54.0,61,61,3000.0,80000.0
Quinti,Spain,Villarreal CF,CDM CB LB ,20,1533,62.0,55.0,58.0,62.0,54.0,51.0,56.0,45.0,43.0,30.0,36.0,56.0,65.0,63.0,68.0,32.0,61.0,48.0,49.0,56.0,63.0,33.0,59.0,64.0,60.0,62.0,56.0,53.0,33.0,61,69,4000.0,325000.0
S. Nabi,England,Carlisle United,CM ,20,1609,62.0,49.0,57.0,65.0,69.0,66.0,56.0,60.0,66.0,50.0,57.0,51.0,27.0,52.0,65.0,48.0,42.0,59.0,56.0,64.0,63.0,69.0,56.0,61.0,53.0,48.0,34.0,60.0,58.0,61,70,2000.0,375000.0
L. Chávez,Mexico,Club Tijuana,LM CM ,21,1628,69.0,28.0,66.0,67.0,67.0,65.0,62.0,46.0,65.0,59.0,41.0,48.0,55.0,35.0,66.0,45.0,62.0,50.0,53.0,66.0,68.0,62.0,60.0,75.0,48.0,60.0,57.0,48.0,48.0,61,69,3000.0,375000.0
A. Babacan,Turkey,Galatasaray SK,CM CAM ,17,1582,74.0,43.0,68.0,74.0,61.0,60.0,65.0,69.0,67.0,48.0,52.0,47.0,29.0,51.0,62.0,54.0,42.0,52.0,43.0,47.0,68.0,55.0,53.0,64.0,34.0,54.0,47.0,65.0,52.0,61,76,5000.0,500000.0
J. Houghton,England,Doncaster Rovers,CM ,21,1650,71.0,65.0,43.0,61.0,64.0,63.0,44.0,61.0,54.0,49.0,59.0,50.0,55.0,73.0,67.0,49.0,64.0,39.0,50.0,50.0,68.0,50.0,51.0,63.0,73.0,59.0,64.0,52.0,49.0,61,71,2000.0,400000.0
J. Geissmann,Switzerland,FC Lausanne-Sports,CDM CM ,24,1643,64.0,60.0,63.0,61.0,57.0,52.0,50.0,64.0,53.0,52.0,36.0,58.0,50.0,67.0,60.0,55.0,55.0,40.0,59.0,65.0,64.0,61.0,63.0,61.0,62.0,55.0,64.0,68.0,29.0,61,67,2000.0,350000.0
P. Fito,France,Montpellier Hérault SC,CDM ,21,1621,55.0,67.0,69.0,75.0,56.0,60.0,63.0,62.0,51.0,38.0,40.0,58.0,63.0,68.0,59.0,41.0,63.0,45.0,39.0,56.0,65.0,52.0,61.0,63.0,52.0,63.0,60.0,50.0,33.0,61,71,3000.0,350000.0
M. Elito,England,Cambridge United,CM LM ,27,1551,86.0,37.0,91.0,72.0,61.0,56.0,60.0,52.0,68.0,44.0,49.0,29.0,18.0,63.0,54.0,62.0,22.0,59.0,46.0,45.0,49.0,64.0,28.0,82.0,73.0,32.0,35.0,57.0,55.0,61,61,4000.0,260000.0
E. Hewitt,Wales,Notts County,RB CB CM ,23,1635,83.0,55.0,87.0,76.0,63.0,62.0,63.0,36.0,63.0,53.0,27.0,45.0,56.0,63.0,59.0,34.0,62.0,22.0,51.0,58.0,61.0,26.0,58.0,83.0,82.0,60.0,69.0,59.0,22.0,61,69,4000.0,375000.0
D. MacKinnon,Scotland,Hamilton Academical FC,CM CDM ,31,1641,58.0,86.0,62.0,73.0,60.0,60.0,47.0,39.0,55.0,53.0,48.0,53.0,52.0,68.0,60.0,46.0,50.0,61.0,56.0,56.0,64.0,67.0,60.0,58.0,79.0,57.0,79.0,43.0,46.0,61,61,2000.0,170000.0
A. Jagiełło,Poland,Piast Gliwice,RM LM ,22,1574,78.0,32.0,90.0,91.0,61.0,65.0,62.0,60.0,63.0,61.0,52.0,33.0,40.0,74.0,54.0,42.0,28.0,54.0,63.0,52.0,57.0,59.0,32.0,72.0,39.0,40.0,37.0,53.0,45.0,61,67,2000.0,350000.0
J. Caletti,Australia,Brisbane Roar,CDM CM ,18,1570,72.0,52.0,87.0,84.0,61.0,66.0,53.0,30.0,60.0,38.0,33.0,45.0,59.0,56.0,61.0,37.0,56.0,38.0,60.0,57.0,63.0,45.0,53.0,69.0,66.0,57.0,39.0,63.0,27.0,61,76,1000.0,525000.0
R. Mitchell,England,Chesterfield,RM LM ,21,1576,85.0,55.0,84.0,80.0,56.0,54.0,59.0,50.0,59.0,55.0,40.0,47.0,32.0,56.0,44.0,56.0,25.0,50.0,56.0,50.0,55.0,55.0,26.0,83.0,70.0,33.0,55.0,55.0,59.0,61,66,3000.0,350000.0
S. Chacón,Argentina,San Martín de San Juan,RM ,25,1498,62.0,32.0,58.0,75.0,58.0,49.0,67.0,50.0,60.0,59.0,44.0,48.0,22.0,49.0,58.0,40.0,34.0,67.0,57.0,62.0,65.0,63.0,27.0,57.0,49.0,34.0,47.0,55.0,45.0,61,63,2000.0,300000.0
R. Hatsuse,Japan,Gamba Osaka,RM RB LB ,19,1441,69.0,51.0,56.0,70.0,56.0,42.0,55.0,31.0,46.0,28.0,34.0,56.0,59.0,65.0,29.0,30.0,59.0,33.0,47.0,57.0,53.0,31.0,64.0,69.0,59.0,62.0,54.0,36.0,30.0,61,73,1000.0,375000.0
L. Diaz,Colombia,CPD Junior Barranquilla,CAM ,20,1457,65.0,41.0,70.0,66.0,62.0,57.0,46.0,55.0,66.0,41.0,41.0,36.0,21.0,58.0,55.0,35.0,33.0,42.0,54.0,54.0,67.0,52.0,33.0,69.0,45.0,33.0,52.0,63.0,38.0,61,78,1000.0,550000.0
D. Oldaker,England,Gillingham,CM ,18,1592,70.0,44.0,66.0,64.0,64.0,48.0,50.0,72.0,66.0,34.0,66.0,43.0,30.0,66.0,70.0,57.0,33.0,38.0,49.0,59.0,66.0,64.0,32.0,71.0,71.0,31.0,62.0,66.0,43.0,61,75,1000.0,525000.0
K. Byrne,Republic of Ireland,St. Patrick's Athletic,CAM LW ST ,27,1676,68.0,52.0,79.0,62.0,58.0,60.0,57.0,56.0,57.0,59.0,54.0,56.0,40.0,54.0,49.0,57.0,45.0,63.0,57.0,57.0,59.0,64.0,36.0,69.0,65.0,42.0,71.0,58.0,69.0,61,62,1000.0,290000.0
L. Dürholtz,Germany,Holstein Kiel,CAM ,23,1539,75.0,39.0,83.0,79.0,68.0,63.0,55.0,56.0,68.0,44.0,50.0,32.0,52.0,57.0,53.0,37.0,33.0,46.0,51.0,60.0,61.0,43.0,46.0,65.0,60.0,42.0,28.0,60.0,48.0,61,66,2000.0,325000.0
A. Alégué,Cameroon,FC Nantes,LM RM ,20,1510,69.0,43.0,63.0,76.0,67.0,54.0,59.0,49.0,69.0,56.0,41.0,51.0,23.0,48.0,49.0,55.0,21.0,59.0,56.0,49.0,59.0,62.0,28.0,68.0,48.0,29.0,43.0,53.0,54.0,61,66,4000.0,350000.0
D. Mihajlovic,Switzerland,FC Lugano,RB RM LM ,25,1580,70.0,61.0,61.0,62.0,63.0,54.0,61.0,29.0,57.0,50.0,35.0,44.0,49.0,57.0,47.0,52.0,54.0,28.0,62.0,58.0,54.0,52.0,61.0,73.0,72.0,55.0,66.0,54.0,44.0,61,62,2000.0,300000.0
T. Arano,Japan,Hokkaido Consadole Sapporo,CAM ,24,1568,64.0,37.0,64.0,59.0,63.0,57.0,59.0,56.0,52.0,64.0,55.0,27.0,31.0,50.0,59.0,67.0,59.0,47.0,45.0,55.0,67.0,58.0,44.0,69.0,58.0,52.0,51.0,59.0,49.0,61,65,1000.0,325000.0
M. González,Argentina,Rosario Central,RM CDM CM ,23,1704,61.0,79.0,60.0,61.0,61.0,56.0,52.0,52.0,56.0,43.0,47.0,58.0,65.0,74.0,56.0,55.0,59.0,51.0,58.0,64.0,58.0,57.0,57.0,64.0,74.0,68.0,72.0,55.0,46.0,61,68,3000.0,350000.0
D. Kearns,Republic of Ireland,Sligo Rovers,LM RM ,25,1517,78.0,36.0,85.0,67.0,57.0,52.0,57.0,50.0,59.0,53.0,55.0,45.0,27.0,53.0,53.0,51.0,17.0,59.0,51.0,51.0,62.0,55.0,15.0,77.0,74.0,15.0,57.0,53.0,51.0,61,62,1000.0,300000.0
S. Grether,Switzerland,FC Luzern,RM CM RB ,25,1655,69.0,62.0,59.0,59.0,60.0,59.0,55.0,44.0,52.0,43.0,55.0,60.0,57.0,62.0,59.0,53.0,58.0,57.0,61.0,58.0,60.0,60.0,58.0,61.0,70.0,59.0,59.0,59.0,43.0,61,64,2000.0,260000.0
J. Gerezgiher,Germany,Holstein Kiel,CAM RM LM ,21,1576,76.0,43.0,78.0,77.0,63.0,52.0,54.0,54.0,65.0,52.0,53.0,46.0,31.0,54.0,58.0,48.0,29.0,54.0,55.0,51.0,62.0,57.0,37.0,67.0,54.0,42.0,52.0,59.0,49.0,61,69,2000.0,375000.0
D. Raum,Germany,SpVgg Greuther Fürth,LM ,19,1469,69.0,38.0,69.0,74.0,63.0,47.0,63.0,60.0,65.0,52.0,37.0,39.0,24.0,58.0,49.0,46.0,18.0,49.0,54.0,49.0,59.0,53.0,21.0,67.0,59.0,20.0,59.0,56.0,48.0,61,74,2000.0,475000.0
W. Jobello,France,GFC Ajaccio,CAM LM ,23,1545,65.0,39.0,64.0,62.0,61.0,51.0,55.0,54.0,70.0,63.0,42.0,62.0,29.0,57.0,43.0,60.0,22.0,64.0,52.0,58.0,59.0,68.0,19.0,66.0,59.0,17.0,57.0,55.0,64.0,61,69,2000.0,375000.0
W. Mena,Colombia,Tigres FC,RM ST ,29,1487,75.0,31.0,74.0,70.0,65.0,52.0,47.0,35.0,64.0,53.0,32.0,53.0,12.0,65.0,49.0,60.0,17.0,64.0,60.0,63.0,54.0,61.0,18.0,76.0,70.0,11.0,60.0,55.0,48.0,61,61,1000.0,250000.0
M. Laínez,Mexico,Club León,RM ,21,1661,65.0,67.0,60.0,78.0,60.0,55.0,56.0,41.0,62.0,54.0,44.0,60.0,66.0,63.0,59.0,51.0,54.0,52.0,57.0,52.0,69.0,53.0,57.0,65.0,65.0,60.0,45.0,53.0,48.0,61,72,4000.0,425000.0
J. Ertlthaler,Austria,SV Mattersburg,CAM ,20,1532,73.0,46.0,59.0,88.0,61.0,57.0,42.0,54.0,64.0,42.0,42.0,43.0,23.0,77.0,62.0,39.0,38.0,54.0,63.0,43.0,64.0,57.0,49.0,69.0,60.0,39.0,34.0,65.0,40.0,61,71,4000.0,400000.0
J. Quintero,Ecuador,FC Rostov,CAM RM CM ,20,1576,76.0,32.0,80.0,92.0,66.0,54.0,61.0,46.0,73.0,56.0,42.0,26.0,58.0,34.0,56.0,48.0,57.0,46.0,51.0,64.0,67.0,36.0,46.0,77.0,54.0,55.0,32.0,53.0,41.0,61,75,5000.0,550000.0
A. Obinwa,United States,Columbus Crew SC,CDM ,20,1553,62.0,71.0,60.0,54.0,58.0,52.0,39.0,36.0,52.0,37.0,38.0,62.0,59.0,69.0,51.0,35.0,62.0,42.0,38.0,64.0,57.0,49.0,57.0,69.0,81.0,61.0,66.0,39.0,36.0,61,71,1000.0,350000.0
S. Lobjanidze,Georgia,Randers FC,RM LM ,22,1526,76.0,41.0,78.0,70.0,64.0,64.0,54.0,54.0,63.0,64.0,56.0,38.0,20.0,54.0,46.0,61.0,23.0,60.0,54.0,45.0,52.0,65.0,21.0,80.0,65.0,20.0,46.0,56.0,48.0,61,68,3000.0,350000.0
Woo Sang Ho,Korea Republic,Daegu FC,CM CDM ,24,1574,64.0,60.0,56.0,68.0,64.0,61.0,39.0,40.0,61.0,40.0,42.0,47.0,55.0,65.0,57.0,45.0,59.0,44.0,44.0,57.0,64.0,46.0,64.0,56.0,66.0,61.0,61.0,54.0,38.0,61,65,1000.0,280000.0
C. Ezeh,Nigeria,Lillestrøm SK,CDM ,19,1690,81.0,57.0,78.0,69.0,61.0,62.0,55.0,46.0,61.0,38.0,42.0,58.0,62.0,74.0,58.0,40.0,47.0,52.0,55.0,55.0,62.0,60.0,63.0,83.0,64.0,64.0,66.0,52.0,48.0,61,73,1000.0,375000.0
Víctor López,Spain,Deportivo Alavés,CM ,20,1595,64.0,54.0,55.0,65.0,58.0,43.0,45.0,49.0,61.0,57.0,47.0,46.0,63.0,57.0,64.0,54.0,43.0,60.0,58.0,60.0,60.0,48.0,52.0,63.0,50.0,59.0,55.0,65.0,39.0,61,72,4000.0,425000.0
M. Listkowski,Poland,Pogoń Szczecin,CAM ST RM ,19,1525,77.0,64.0,71.0,82.0,62.0,53.0,36.0,46.0,68.0,60.0,30.0,50.0,19.0,62.0,51.0,49.0,16.0,66.0,40.0,54.0,64.0,56.0,15.0,76.0,69.0,13.0,45.0,65.0,52.0,61,72,1000.0,425000.0
S. Sinclair,England,Bristol Rovers,RM CM ,29,1797,86.0,75.0,68.0,69.0,58.0,54.0,56.0,59.0,57.0,53.0,49.0,55.0,66.0,68.0,58.0,55.0,61.0,53.0,57.0,53.0,63.0,55.0,63.0,80.0,94.0,65.0,74.0,53.0,49.0,61,61,2000.0,240000.0
S. Zenjov,Estonia,Cracovia,RM ,28,1627,69.0,60.0,55.0,54.0,61.0,59.0,57.0,60.0,53.0,61.0,55.0,53.0,48.0,61.0,61.0,53.0,47.0,49.0,64.0,65.0,66.0,59.0,47.0,71.0,59.0,48.0,56.0,43.0,53.0,61,61,2000.0,250000.0
N. Gavory,France,Clermont Foot 63,RM ,22,1598,71.0,44.0,75.0,60.0,62.0,59.0,46.0,50.0,55.0,44.0,41.0,47.0,28.0,75.0,60.0,33.0,44.0,49.0,54.0,59.0,68.0,51.0,46.0,72.0,79.0,45.0,66.0,66.0,48.0,61,71,1000.0,400000.0
M. Byrne,Republic of Ireland,Gillingham,CM ,28,1763,78.0,67.0,84.0,83.0,58.0,60.0,49.0,31.0,49.0,45.0,57.0,49.0,54.0,87.0,57.0,54.0,52.0,62.0,57.0,60.0,60.0,60.0,53.0,80.0,97.0,66.0,71.0,59.0,48.0,61,61,2000.0,250000.0
Santi Samanes,Spain,Real Valladolid,LM ,21,1482,71.0,40.0,70.0,69.0,64.0,50.0,59.0,47.0,65.0,60.0,53.0,44.0,22.0,37.0,57.0,50.0,27.0,62.0,56.0,43.0,61.0,55.0,28.0,67.0,48.0,30.0,51.0,51.0,40.0,61,69,2000.0,375000.0
M. Sosa,Argentina,Defensa y Justicia,RW CAM ,21,1599,63.0,58.0,61.0,75.0,62.0,48.0,48.0,41.0,56.0,53.0,41.0,53.0,48.0,60.0,63.0,47.0,36.0,54.0,60.0,56.0,69.0,61.0,47.0,68.0,55.0,45.0,53.0,61.0,48.0,61,69,2000.0,375000.0
Sergio Arribas,Spain,CD Leganés,RM CAM ,21,1527,56.0,48.0,63.0,62.0,65.0,60.0,51.0,53.0,61.0,41.0,46.0,39.0,30.0,60.0,65.0,42.0,45.0,46.0,53.0,58.0,68.0,51.0,48.0,57.0,49.0,53.0,52.0,65.0,42.0,61,70,4000.0,400000.0
D. Geurts,Germany,SC Paderborn 07,RM LM ,22,1475,87.0,36.0,78.0,77.0,62.0,47.0,54.0,66.0,65.0,43.0,44.0,34.0,15.0,65.0,46.0,52.0,15.0,42.0,52.0,50.0,60.0,62.0,16.0,82.0,53.0,18.0,54.0,51.0,48.0,61,69,1000.0,375000.0
M. Al Enazi,Saudi Arabia,Al Batin,RM RB RWB ,33,1615,72.0,64.0,85.0,78.0,58.0,66.0,56.0,40.0,60.0,57.0,38.0,47.0,56.0,61.0,59.0,44.0,57.0,44.0,48.0,54.0,68.0,49.0,55.0,73.0,64.0,59.0,29.0,54.0,35.0,61,61,3000.0,100000.0
H. Wolf,Austria,FC Red Bull Salzburg,RW ST CF CAM ,18,1572,76.0,52.0,71.0,77.0,62.0,53.0,44.0,57.0,64.0,63.0,46.0,54.0,28.0,56.0,53.0,58.0,21.0,64.0,48.0,58.0,59.0,63.0,22.0,74.0,57.0,27.0,53.0,56.0,59.0,61,81,3000.0,525000.0
K. Al Samiri,Saudi Arabia,Al Ittihad,CDM CM ,20,1566,64.0,49.0,73.0,85.0,66.0,55.0,48.0,42.0,64.0,41.0,39.0,43.0,56.0,53.0,64.0,30.0,54.0,45.0,46.0,58.0,68.0,52.0,50.0,67.0,57.0,56.0,44.0,60.0,43.0,61,71,5000.0,400000.0
Olabe,Spain,Atlético Madrid,CM LM ,21,1500,62.0,40.0,56.0,64.0,64.0,58.0,57.0,47.0,60.0,57.0,45.0,44.0,32.0,56.0,64.0,45.0,40.0,44.0,56.0,63.0,68.0,59.0,45.0,62.0,41.0,43.0,48.0,55.0,38.0,61,70,7000.0,400000.0
J. Tuominen,Finland,,CAM ST ,21,1521,70.0,59.0,59.0,57.0,55.0,55.0,35.0,41.0,59.0,62.0,31.0,64.0,32.0,65.0,45.0,62.0,35.0,72.0,65.0,60.0,45.0,55.0,34.0,66.0,51.0,40.0,56.0,49.0,40.0,61,68,0.0,0.0
Kim Sang Won,Korea Republic,GwangJu FC,LB LM ,25,1696,77.0,59.0,75.0,79.0,56.0,55.0,45.0,49.0,53.0,52.0,38.0,51.0,51.0,63.0,60.0,53.0,65.0,47.0,60.0,69.0,67.0,45.0,57.0,77.0,68.0,60.0,54.0,56.0,49.0,61,63,1000.0,300000.0
